FID,Id,ORIG_FID,x,y,elevation,basin
212,0,3,1382879.034700000000000,1133000.815359999900000,3960.8798828,15462
213,0,3,1382562.195060000100000,1132925.945720000000000,3931.6201172,15462
214,0,3,1382489.495550000100000,1132892.308630000100000,3936.2399902,15462
215,0,3,1382277.907429999900000,1132868.437149999900000,3926.6799316,15462
216,0,3,1382205.207930000000000,1132842.395539999900000,3923.9399414,15462
217,0,3,1382132.508420000100000,1132753.420020000100000,3916.9799805,15462
218,0,3,1382079.340120000100000,1132659.019170000000000,3921.0500488,15462
219,0,3,1381996.875010000100000,1132573.298849999900000,3931.7800293,15462
220,0,3,1381959.982720000000000,1132530.981230000000000,3939.9099121,15462
221,0,3,1381828.689580000000000,1132432.240109999900000,3958.3999023,15462
222,0,3,1381732.118599999900000,1132282.500820000000000,3978.5600586,15805
223,0,3,1381655.078819999900000,1132109.975129999900000,3996.0000000,15805
224,0,3,1381611.676130000000000,1131954.810510000000000,3998.5700684,15805
225,0,3,1381608.420930000000000,1131779.029610000100000,3973.2199707,15683
226,0,4,1387730.988979999900000,1133351.829560000000000,3417.5600586,15805
227,0,4,1387786.327409999900000,1133406.082920000000000,3425.3100586,15805
228,0,4,1387962.108310000000000,1133473.357090000100000,3434.9199219,15805
229,0,4,1388076.040370000100000,1133602.480100000000000,3455.3200684,15805
230,0,4,1388178.036690000000000,1133748.964179999900000,3468.9599609,15805
231,0,4,1388219.269249999900000,1133912.809339999900000,3480.4799805,15805
232,0,4,1388217.099119999900000,1134036.507010000100000,3495.3100586,15805
233,0,4,1388225.779649999900000,1134191.671630000000000,3500.8500977,15805
234,0,4,1388242.055660000100000,1134305.603690000000000,3510.5200195,15805
235,0,4,1388285.458350000000000,1134357.686920000000000,3516.4699707,15805
236,0,4,1388473.174990000000000,1134420.620820000100000,3533.9199219,15805
237,0,4,1388680.422839999900000,1134500.915800000100000,3573.0900879,15805
238,0,4,1388756.377550000100000,1134537.808089999900000,3582.7099609,15805
239,0,4,1388821.481590000000000,1134608.337460000100000,3596.5400391,15805
240,0,4,1388911.542170000000000,1134683.207100000000000,3615.3601074,15805
241,0,4,1389060.196389999900000,1134662.590820000000000,3626.7700195,15805
242,0,4,1389110.109480000100000,1134668.016160000100000,3637.3798828,15805
243,0,4,1389234.892220000000000,1134818.840510000000000,3676.6000977,15805
244,0,1,1377160.888469999900000,1130313.089850000100000,3600.6201172,15797
245,0,1,1377227.728620000000000,1130258.402460000000000,3607.3999023,15797
246,0,1,1377328.422860000000000,1130131.666610000000000,3623.5500488,15683
247,0,1,1377315.402049999900000,1129969.340540000000000,3644.9799805,15683
248,0,1,1377311.061780000100000,1129905.972610000100000,3654.0500488,15683
249,0,1,1377364.013070000100000,1129730.625740000000000,3678.6398926,15683
250,0,1,1377439.533749999900000,1129583.924649999900000,3688.5500488,15683
251,0,1,1377521.998859999900000,1129484.966509999900000,3697.7800293,15683
252,0,1,1377647.866660000100000,1129387.744480000100000,3710.3400879,15683
253,0,1,1377810.192730000000000,1129300.071049999900000,3722.9499512,15683
254,0,1,1377988.143759999900000,1129245.383660000100000,3735.5200195,15683
255,0,1,1378061.928340000100000,1129208.057340000100000,3744.2800293,15683
256,0,1,1378181.719760000000000,1129046.599330000100000,3766.7700195,15683
257,0,1,1378260.712660000000000,1128936.356500000000000,3771.0600586,15683
258,0,1,1378287.622329999900000,1128874.724680000000000,3772.9099121,15797
259,0,1,1378287.622329999900000,1128769.690160000000000,3772.4599609,15797
260,0,1,1378268.525140000000000,1128675.072300000100000,3767.7399902,15797
261,0,1,1378261.580709999900000,1128560.489190000100000,3768.2900391,15797
262,0,1,1378249.427960000000000,1128489.308780000100000,3769.9599609,15797
263,0,1,1378248.559910000100000,1128412.920040000000000,3772.1699219,15797
264,0,1,1378238.143260000000000,1128313.093850000100000,3773.3400879,15797
265,0,1,1378239.879370000000000,1128278.371700000000000,3774.3400879,15797
266,0,1,1378297.170919999900000,1128169.864970000000000,3784.9699707,15797
267,0,1,1378328.420860000000000,1128096.080400000100000,3793.8701172,15797
268,0,1,1378390.052680000000000,1128012.747230000100000,3804.0000000,15797
269,0,1,1378404.809590000000000,1127935.490440000100000,3805.3999023,15797
270,0,1,1378387.448520000100000,1127857.365599999900000,3806.2299805,15797
271,0,1,1378360.538849999900000,1127775.768540000100000,3804.1999512,15797
272,0,1,1378298.038970000100000,1127734.970010000000000,3797.9299316,15797
273,0,1,1378120.087940000000000,1127696.775639999900000,3777.7500000,15797
274,0,1,1377960.366040000000000,1127656.845170000100000,3763.2800293,15797
275,0,1,1377871.824550000000000,1127649.900740000000000,3754.1599121,15797
276,0,1,1377752.901180000000000,1127615.178580000100000,3756.3999023,15797
277,0,1,1377653.074990000100000,1127614.310529999900000,3754.2199707,15797
278,0,1,1377528.943290000100000,1127666.393759999900000,3743.4199219,15797
279,0,1,1377385.714410000000000,1127677.678460000100000,3729.9599609,15797
280,0,1,1377330.158970000000000,1127668.129870000100000,3729.0300293,15797
281,0,1,1377264.186879999900000,1127618.650799999900000,3720.5300293,15797
282,0,1,1377209.499490000100000,1127560.491190000000000,3709.4799805,15797
283,0,3,1381610.591060000000000,1131606.503910000000000,3951.5200195,15683
284,0,3,1381621.441730000100000,1131476.295840000000000,3937.2299805,15683
285,0,3,1381616.016400000100000,1131318.961080000000000,3931.5900879,15683
286,0,3,1381601.910519999900000,1131173.562070000000000,3924.5700684,15683
287,0,3,1381617.101460000000000,1131037.928660000000000,3907.3500977,15683
288,0,3,1381578.039039999900000,1130999.951300000100000,3898.4399414,15683
289,0,3,1381510.764870000100000,1130999.951300000100000,3888.1799316,15683
290,0,3,1381466.277109999900000,1130945.697940000100000,3874.6201172,15683
291,0,3,1381454.341370000000000,1130855.637360000100000,3858.6000977,15683
292,0,3,1381454.341370000000000,1130725.429280000000000,3846.7299805,15683
293,0,3,1381418.534150000000000,1130504.075560000000000,3814.2800293,15683
294,0,3,1381367.535990000000000,1130322.869320000100000,3800.9799805,15683
295,0,3,1381330.643699999900000,1130168.789769999900000,3788.0900879,15683
296,0,3,1381304.298269999900000,1130079.684050000000000,3779.3400879,15683
297,0,3,1381250.131710000100000,1129984.371740000100000,3776.4199219,15683
298,0,3,1381194.402659999900000,1129911.455219999900000,3770.7900391,15683
299,0,3,1381140.236100000100000,1129830.205379999900000,3774.3798828,15683
300,0,3,1381072.007070000100000,1129733.851409999900000,3775.8601074,15683
301,0,3,1381013.673849999900000,1129644.789080000000000,3775.8601074,15683
302,0,3,1380942.840660000000000,1129576.560050000000000,3773.0000000,15683
303,0,3,1380827.215890000100000,1129456.247789999900000,3767.4499512,15683
304,0,3,1380700.132810000100000,1129376.560450000000000,3768.3000488,15683
305,0,3,1380626.695460000100000,1129261.456520000000000,3771.7299805,15683
306,0,3,1380575.480280000000000,1129195.831650000100000,3774.1298828,15683
307,0,3,1380541.626190000000000,1129130.727609999900000,3776.3100586,15683
308,0,3,1380400.133410000000000,1129078.644380000000000,3776.6298828,15683
309,0,3,1380243.015670000100000,1129047.394450000000000,3772.2399902,15683
310,0,3,1380159.682500000100000,1129020.484780000100000,3778.0300293,15683
311,0,3,1380037.286920000100000,1128977.082089999900000,3778.5500488,15683
312,0,3,1379954.821800000000000,1128914.582209999900000,3782.8798828,15683
313,0,3,1379883.641390000000000,1128868.575359999900000,3782.2700195,15683
314,0,3,1379839.370649999900000,1128863.367039999900000,3780.4199219,15683
315,0,3,1379778.606880000100000,1128869.443410000100000,3776.8701172,15683
316,0,3,1379732.600030000100000,1128820.832400000000000,3788.4499512,15683
317,0,3,1379556.385100000100000,1128708.853459999900000,3797.8300781,15683
318,0,3,1379407.079840000000000,1128577.777330000000000,3800.1799316,15683
319,0,3,1379335.031380000100000,1128477.951140000000000,3800.1499023,15683
320,0,3,1379269.927339999900000,1128346.006959999900000,3796.2500000,15683
321,0,3,1379195.274710000000000,1128243.576610000100000,3793.1201172,15683
322,0,3,1379146.663699999900000,1128109.028269999900000,3792.5800781,15683
323,0,3,1379091.976310000100000,1128002.257650000000000,3802.2700195,15683
324,0,3,1379072.011070000000000,1127993.577110000000000,3802.2700195,15683
325,0,3,1378985.205690000000000,1128010.938180000100000,3801.9099121,15683
326,0,3,1378851.525399999900000,1127989.236839999900000,3803.6999512,15683
327,0,3,1378750.831160000100000,1127956.250790000000000,3803.1699219,15683
328,0,3,1378640.588320000100000,1127937.153609999900000,3810.4699707,15683
329,0,3,1378541.630189999900000,1127885.070379999900000,3815.5300293,15683
330,0,3,1378441.804000000000000,1127830.382990000100000,3814.1799316,15797
331,0,3,1378360.538849999900000,1127775.768540000100000,3804.1999512,15797
332,0,5,1382835.816480000000000,1127602.998459999900000,3223.2800293,15805
333,0,5,1382806.302650000000000,1127675.914979999900000,3199.5100098,15805
334,0,5,1382695.191760000100000,1127769.664799999900000,3175.4899902,15805
335,0,1,1377188.666190000000000,1127488.442730000000000,3703.6799316,15797
336,0,1,1377168.700960000000000,1127446.776140000000000,3703.2500000,15797
337,0,5,1383155.260280000000000,1127092.582819999900000,3255.4199219,16091
338,0,5,1383151.788070000000000,1127191.540950000100000,3249.2099609,16091
339,0,5,1383118.802020000100000,1127300.915730000000000,3244.9299316,15805
340,0,5,1383091.024299999900000,1127399.873870000000000,3234.7199707,15805
341,0,5,1383049.357709999900000,1127477.998710000000000,3215.5500488,15805
342,0,5,1382950.399580000000000,1127498.831999999900000,3214.7199707,15805
343,0,5,1382889.635809999900000,1127531.818049999900000,3209.0500488,15805
